Date,Close,Volume,Open,High,Low
4/11/2014,529.15,"3,924,800",531.09,538.52,525.09
4/14/2014,531.06,"2,575,000",536.78,542.61,528.11
4/15/2014,534.97,"3,855,000",535.35,536.98,517.04
4/16/2014,555.02,"4,893,200",541.51,555.47,538.52
4/17/2014,534.63,"6,809,500",547.31,548,529.7
4/21/2014,527.17,"2,566,700",534.63,535.23,524.16
4/22/2014,533.35,"2,365,300",527.19,535.76,526.07
4/23/2014,525.5,"2,052,300",532.33,532.41,524.81
4/24/2014,523.72,"1,883,100",528.62,530.19,520.69
4/25/2014,514.77,"2,100,300",521.08,523.26,514.01
4/28/2014,515.73,"3,335,500",515.76,517.18,501.42
4/29/2014,526.26,"2,699,000",515.48,528.01,514.91
4/30/2014,525.22,"1,751,100",526.16,526.55,521.09
5/1/2014,529.9,"1,905,500",525.67,531.47,522.45
5/2/2014,526.48,"1,688,500",532.3,532.54,524.17
5/5/2014,526.36,"1,024,100",523.38,527.45,519.89
5/6/2014,513.73,"1,689,000",523.79,525.37,513.65
5/7/2014,508.56,"3,224,300",514.38,515.27,501.92
5/8/2014,509.6,"2,021,300",507.07,515.81,505.06
5/9/2014,517.31,"2,439,400",509.35,518.48,502.82
5/12/2014,528.47,"1,912,500",522.08,528.74,517.59
5/13/2014,531.63,"1,653,400",529.44,534.6,528.06
5/14/2014,525.21,"1,191,700",531.54,531.54,523.85
5/15/2014,518.56,"1,704,300",524.26,524.43,516
5/16/2014,519.2,"1,485,200",519.96,520.37,514.03
5/19/2014,527.41,"1,277,700",518.28,528.33,516.17
5/20/2014,528.32,"1,784,700",528.29,534.76,524.86
5/21/2014,537.46,"1,196,200",531.44,537.71,530.45
5/22/2014,543.57,"1,615,800",539.65,546.1,539.3
5/23/2014,551.19,"1,932,100",545.76,552.12,542.21
5/27/2014,564.4,"2,104,100",554.48,564.45,552.83
5/28/2014,560.14,"1,652,000",563.02,566.29,559.46
5/29/2014,558.55,"1,354,100",561.81,562.46,557.18
5/30/2014,558.36,"1,771,100",559.26,559.81,554.39
6/2/2014,552.41,"1,435,000",559.16,559.36,544.24
6/3/2014,543.45,"1,866,600",549.48,550.83,541.06
6/4/2014,543.17,"1,816,400",540.02,547.11,537.27
6/5/2014,552.38,"1,689,100",544.9,553.43,542.96
6/6/2014,554.81,"1,736,700",556.53,556.53,547.43
6/9/2014,560.58,"1,467,500",555.62,561.36,554.52
6/10/2014,559.02,"1,351,700",558.98,562.06,556.37
6/11/2014,557.31,"1,100,100",556.47,558.35,553.5
6/12/2014,549.84,"1,458,400",555.77,556.46,546.96
6/13/2014,550.25,"1,220,500",550.75,550.79,544.07
6/16/2014,542.79,"1,702,500",547.76,548.12,540.04
6/17/2014,541.52,"1,444,500",542.71,543.83,537.85
6/18/2014,551.85,"1,741,700",543.37,552.04,542.51
6/19/2014,553.38,"2,456,800",552.72,553.48,547.01
6/20/2014,554.84,"4,508,300",555.33,556.05,548.89
6/23/2014,563.4,"1,536,800",553.63,563.45,552.73
6/24/2014,563.07,"2,207,100",563.64,571.08,559.47
6/25/2014,577.07,"1,969,300",563.71,578.37,563.67
6/26/2014,574.42,"1,741,900",579.41,580.86,570.28
6/27/2014,575.66,"2,236,900",575.6,578.28,572.23
6/30/2014,573.7,"1,313,700",577.08,577.98,573.18
7/1/2014,581.07,"1,447,900",576.74,582.8,575.07
7/2/2014,580.74,"1,056,300",581.75,583.84,578.8
7/3/2014,583.13,"714,100",581.75,583.41,579.33
7/7/2014,580.66,"1,064,600",582.16,584.82,578
7/8/2014,569.53,"1,909,500",576.08,577.94,564.58
7/9/2014,574.5,"1,116,700",570.02,575.14,567.82
7/10/2014,569.54,"1,356,700",564.36,575.01,563.46
